screen_name,created_at,text,id
196069,2016-06-14T00:08:00,"@Shell  por favor...Queremos caros com energia limpa, onibus com energia solar e trens com energia vulcânica,kkk... https://t.co/5qc694e2px",742509007093567488
Juugmeister,2016-06-14T00:20:00,@Shell  https://t.co/T7PMn6rMj1,742511930170998788
LuridStudios,2016-06-14T01:45:00,"@Shell Peoria, IL itself isn't worth $2, please provide complimentary @VaselineBrand next time #gasprices #shell https://t.co/TSBXFt1HrD",742533423286386689
kungpowbettie,2016-06-14T02:06:00,@Shell Residence would appreciate your innovation towards correcting whatever is causing the strong sulfur smell at the Anacortes refinery.,742538554677420032
Liz_W_1,2016-06-14T03:20:00,@Shell @Shell_US @DunkinDonuts As a #transwoman I'm so glad I now know where to pee 2494 Oakton St Evanston IL 60202 https://t.co/LBemIVmfMl,742557415728521216
DiplomadosEAFIT,2016-06-14T03:36:00,@Shell Curso de Lubricación - Universidad EAFIT https://t.co/vggPXYLYjK,742561218326630400
OhTee_Davis,2016-06-14T03:43:00,@Shell customer service is A1!! dawg the 2 I frequent have guys that pull swishers off the shelf right when I walk in 😂😎,742563117872254977
sgekar,2016-06-14T06:27:00,"@Shell, this report is alarming... || The World Nears Peak Fossil Fuels for Electricity https://t.co/23143KXud3",742604371179900928
Gav_lar,2016-06-14T07:16:00,@Shell Any point sending these vouchers when none of your stations accept them? https://t.co/bbqC2p9cK2,742616598314377216
TehriArjun,2016-06-14T07:19:00,@Shell,742617377427226624
The__Farmster,2016-06-14T08:34:00,@Shell - How do I complain about service I received in one of your stations this morning?,742636359458906112
PeterJGWard,2016-06-14T08:38:00,@Shell Fill Up &amp; Go would be much more appealing if you could link to your debit card instead of PayPal.,742637230678810624
nezfinex,2016-06-14T09:10:00,"@Shell    Are you interested   by Russian companies? Look at our website https://t.co/Vy2nDSZZfX (button   ""English"" in the up-right corner)",742645397785612288
osslsafety,2016-06-14T10:14:00,@Shell https://t.co/vs0YtnDrYO,742661388062105600
HarryetN,2016-06-14T11:08:00,@Shell Do you have contactless payment available around the uxbridge area?!,742675033001234432
nfib_pa,2016-06-14T14:37:00,@Shell cracker will help #smallbiz - learn what services and products may be needed @nfib_pa https://t.co/RODrOZYFQn https://t.co/o47XhwDEZ5,742727751610839041
dineshc22431054,2016-06-14T15:01:00,"@Shell water,solar power and waste if harnessed at optimum level 
Poverty on our planet can be diminished.",742733722064031744
KramGnik,2016-06-14T15:20:00,@Shell presenting their key technology beliefs for now and the future at #HxGNLIVE https://t.co/E3zRw1iugm,742738464374951936
HxGNLIVE,2016-06-14T15:24:00,@Shell IT CTO &amp; VP TaCIT Architecture Johan Krebbers takes the stage #HxGNLIVE  #CloudComputing #Mobile #Analytics https://t.co/B2sYmhKGFP,742739372533895169
calmc61,2016-06-14T15:32:00,@Shell @petrocanada @ImperialOil @JustinTrudeau @RachelNotley Oil dropped again...Gas still over-inflated...how about some relief????,742741550854115328
LeJDLE,2016-06-14T16:33:00,@Shell sort de l'Arctique canadien. https://t.co/IgbxAR0qvj,742756835409690624
PetroAbstracts,2016-06-14T17:22:00,@Shell keeping in the forefront of the global deepwater #oil and #gas https://t.co/18rwjnpQrP,742769197315284992
