screen_name,created_at,text,id
HalpinKev,2015-10-06T20:31:00,@bt_uk when are you going to get more than 2mbps to my house ? 5 year wait is not good enough #poorcustomerservice,651495131649056768
Talfie10,2015-10-07T09:51:00,"@bt_uk 12 years with sky no problem, decided to come to bt for complete package and so far nothing but hassle. #14daystocancel???",651696323176042496
MichaelFinney84,2015-10-07T10:18:00,@bt_uk Hello can you please tell me if the phne lines are down in Mansfield. my phone says its disconnected but its not ? getting web fine,651703245543505922
anandMenon1,2015-10-07T14:44:00,@bt_uk are you a spoof? What length of a delay installing broadband counts as unacceptable? I reckon 2 months qualifies.,651770138090455040
Hubprojects,2015-10-07T15:46:00,"@bt_uk not where I live. Been waiting for months. Was told it was available called back next day, not available.",651785783947460608
Sir_roozy,2015-10-07T16:56:00,@bt_uk absolute dogshit,651803328310050816
rjstir1,2015-10-07T19:15:00,@bt_uk what about existing customers??,651838348080869376
SThoedore,2015-10-08T12:24:00,"@bt_uk @BTCare how can your complaints team be in another country, do any complaints get heard.. really !?!?!",652097123564040192
Sam_L_Shead,2015-10-08T16:05:00,@bt_uk CEO Gavin Patterson says the biggest hurdles for London's tech sector are skills and immigration #techlondon,652152892711829504
jonpaulwade,2015-10-08T21:53:00,@bt_uk How do I arrange to get Infinity box moved upstairs? Shuvan @ http://t.co/sFFeqOZ5Yt says I can get an electrician to move it?,652240324757164036
rjnbarrass,2015-10-09T15:10:00,@bt_uk certainly not how fast the roll-out to some exchanges... Snails would be quicker #haydonwickswindonexhangeleftout,652501309120229376
mickscrawford,2015-10-10T09:29:00,@bt_uk @BTCare how do I go about making an official complaint??,652778024316850176
Joe_Sulli,2015-10-12T11:09:00,@bt_uk @btwwrc15 looking amazing!  #murderball http://t.co/AfXAx5BKLk,653527790583709696
iamsimonallen,2015-10-12T13:46:00,@bt_uk @BTCare Why can't I check my broadband usage? What if I don't need unlimited and could be paying less pm? http://t.co/egH4Ji5E0u,653567336125960192
adrianfraguela,2015-10-12T19:45:00,@bt_uk @BTCare if you could actually connect to the Internet... #notgreat #bt #dontswitch http://t.co/OXWzTe2IzY,653657848140972032
JesseMillette,2015-10-12T21:12:00,@bt_uk I would really appreciate a follow back from you!,653679591089963008
HuJohndhughes,2015-10-13T06:22:00,@bt_uk is there a problem with BT Internet. I cannot send e-mails,653818070503395329
GiftOfGod81,2015-10-13T14:13:00,@bt_uk I've been waiting 5 days for a service that hasn't been put in and now I'm having mega problems can someone contact me ?,653936590855741440
Gems2712,2015-10-14T14:53:00,@bt_UK worst moving experience ever. I work from home and customer service is pathetic. switching to @virginmedia as soon as I can.,654309036058349568
TinaClairBrown1,2015-10-15T11:01:00,@bt_uk Is your Kilvey transmitter in Wales down? My TV isn't working! 😭 #NoSignal,654612936246358016
RoninTechAdv,2015-10-15T16:55:00,@bt_uk plans to expand fiber #broadband to 18k locations @lb_southwark http://t.co/y71k52VSIv #itsaboutbroadbandtime via @broadbandse16,654702198190837760
mooozik,2015-10-15T19:36:00,@bt_uk possibly the the most incompetent company I've had the pleasure to deal with.,654742738659770368
Clacky2,2015-10-15T22:01:00,@bt_uk,654779061416300544
bespectacled30,2015-10-16T17:36:00,@bt_uk an chance you could chase up my BT sport HD channel order. I still don't have the HD Channels,655074952002084864
aks18f,2015-10-18T06:35:00,@bt_uk my internet is getting worse by the minute !! SORT IT OUT 😡😡😡#nothappy #poorservice,655633390654377984
longton_anna,2015-10-18T20:14:00,@bt_uk never join bt as a student. monthly rate just been raised to £43 from £11 a month without any warning. Awful customer service.,655839311951187969
beckymccarty,2015-10-19T17:01:00,"@bt_uk please help me. I've spent hours being passed between BT chat, your call centre and @BTCare are not responding.",656153123556343808
sneraw,2015-10-22T14:18:00,@bt_uk: #WinBTMobileSonyM4Aqua 👍👍,657199410972114944
Miamoos_mummy,2015-10-22T14:56:00,@bt_uk #WinBTMobileSonyM4Aqua,657208930507096064
etspeaksfrom,2015-10-22T14:57:00,@bt_uk #winbtmobilesonym4aqua count me in,657209260074516480
tamalyn1,2015-10-22T15:08:00,@bt_uk ooh yes please x #winbtmobilesonym4aqua,657211827022118912
Kiniapinky,2015-10-22T15:08:00,@bt_uk #WinBTMobileSonyM4Aqua 👌👌👌😎,657211996551692288
susan1375,2015-10-22T15:20:00,RT @bt_uk Win a Sony M4 Aqua - RT to enter! #WinBTMobileSonyM4Aqua Find it in #BTStore now: https://t.co/Nfdm1EOert https://t.co/filu0YsVkn,657214948364431360
evies_b,2015-10-22T15:21:00,@bt_uk thanks for the chance shared on my blog page too 🎉🎉🎁😘😘💗💗💕💞🙏🙏,657215201658470401
BlossomCatcher,2015-10-22T15:22:00,RT@bt_uk Win a Sony M4 Aqua - simply RT to enter! #WinBTMobileSonyM4Aqua Find it in #BTStore now: https://t.co/6aTdagXn1R,657215552583241728
crystal2370,2015-10-22T15:28:00,@bt_uk  #WinBTMobileSonyM4Aqua this looks amazing thanks for the chance xx,657217088226988032
AngeloT01,2015-10-22T15:37:00,@bt_uk #WinBTMobileSonyM4Aqua #BTStore 😍😍😍,657219273857847296
ASheradelia,2015-10-22T16:08:00,"@bt_uk
Yes please, I'd love to #WinBTMobileSonyM4Aqua 📱
If you pick me, I'd simply go Ga-Ga! 😍😝",657226944623321088
LiamElliot96,2015-10-22T16:09:00,@bt_uk #WinBTMobileSonyM4Aqua,657227331560460288
LiamElliot96,2015-10-22T16:09:00,@bt_uk #WinBTMobileSonyM4Aqua,657227279278456833
MaplesdenSharon,2015-10-22T16:47:00,@bt_uk @bt_uk: #WinBTMobileSonyM4Aqua #BTStore https://t.co/y6GVK5Zjgo,657236746590146560
LiveSmilesLove,2015-10-22T17:41:00,"@bt_uk 😘📱 a Sony M4 Aqua,Please-#WinBTMobileSonyM4Aqua Find it in #BTStore now: https://t.co/RGVYm0SZ9q https://t.co/pbJjjDzl18",657250359916806144
SMOKEYFORMBY,2015-10-22T17:57:00,RT @bt_uk: Win a Sony M4 Aqua - simply RT #WinBTMobileSonyM4Aqua Find it in #BTStore now: https://t.co/PwSb5vh5IW https://t.co/k6mzHiNbUP,657254474684223488
hm_mulgrove,2015-10-22T18:19:00,@bt_uk #WinBTMobileSonyM4Aqua Ekk fantastic would love this ☺ Thank you,657259987782225920
Derek1Cowan,2015-10-22T19:28:00,@bt_uk since upgrading to infinity I think my broadband has been slower #extrafornothing,657277287428202496
hulkster34,2015-10-22T20:21:00,@bt_uk Win a Sony M4 Aqua - simply RT to enter! #WinBTMobileSonyM4Aqua Find in #BTStore now https://t.co/kvivgPwQJE https://t.co/DUn9Bb0k7O,657290646282248192
