screen_name,created_at,text,id
DrFishmarketing,2015-10-06T18:39:00,@SSE your maya monkey ads are getting progressively awful #pgtips #ads,651466809451913216
carla_savelli,2015-10-06T21:49:00,@YourSSE  how cute is your new advert 🐒❤,651514685896982528
Hurtledto60,2015-10-07T06:53:00,@YourSSE why when I submit a meter reading on line I am sent an email reminder for a reading?  Thus happens every time and is annoying,651651565024100352
nmarshall0,2015-10-07T07:33:00,"@YourSSE Eilidh, I have emailed to your attention. I would appreciate it if my query is dealt with today, many thanks",651661569538007040
ZoeHepper,2015-10-07T08:23:00,"@SSE Obviously it is CGI, I just still feel it distasteful!",651674272281296896
ohitsnicola,2015-10-07T08:35:00,@YourSSE Hi I still haven't received the fall out boy tickets???,651677249356345344
emily_galt,2015-10-07T10:36:00,"@YourSSE fairlee road, Newport IOW. About 5 minutes before my original tweet. Is stopped as I could see the lights, and he'd seen it too",651707605803470848
mikecampbellPT,2015-10-07T12:11:00,"@SSE hello, I require a statement as proof of address, I have shredded the previous ones, how can I have one sent to me? Thanks",651731633415028737
mikecampbellPT,2015-10-07T12:12:00,"@YourSSE hello, I require a statement as proof of address, I have shredded the previous ones, how can I have one sent to me? Thanks",651731901795946496
KiaraGallop,2015-10-07T12:37:00,@YourSSE thanks but I managed to set up my spare router and all seems to be working now. Think my old one had died a death!,651738119746781184
ohitsnicola,2015-10-07T13:22:00,@YourSSE Hi i tweeted this morning but i am still waiting for a response,651749361215492096
mattsmith661,2015-10-07T13:25:00,@YourSSE we had a new boiler fitted today by your team and when they took the plastic cover off the floor it lifted off some of the wood!!!!,651750312936652801
AMcGlue,2015-10-07T15:42:00,@YourSSE Mark McGill is hopefully sorting this now. Thank you,651784736403247104
dickiewood,2015-10-07T17:32:00,@YourSSE Bloody ridiculous.,651812346667638785
Helena_Torry,2015-10-07T17:57:00,@YourSSE why the orang utan? they are social animals. The poor thing looks lost &amp; out of it's natural habitat! Not a good ad I'm afraid.,651818751109779456
gorgeousboysmum,2015-10-07T18:08:00,@YourSSE are you saying your customers are primates? Certainly not making me consider switching provider,651821324390805504
johnstankevitch,2015-10-07T19:03:00,@YourSSE I need a postal address for your customer service department please.,651835173072424960
zizi4201,2015-10-08T07:36:00,"@SSE Illegal oil distribution block, the building offers an interlayer resolve patent deal of noise.
http://t.co/uF0etRXcCa",652024662147248128
girlinterruptin,2015-10-08T07:54:00,@yoursse our power is out in Oxford OX4 ... Can you help?,652029368504557568
clairemarie832,2015-10-08T09:07:00,"@YourSSE I pay DD and was in credit. I was planning to use this credit to pay for the heating over the winter, but you refunded me. Why?",652047607620050944
AlmostMoriarty,2015-10-08T09:43:00,@YourSSE Great - but your form doesn't work either - tells me my house name should be 30 characters or less. It is.,652056590133121024
Helena_Torry,2015-10-08T10:07:00,@YourSSE I understand this but I can't understand what the connection is between you &amp; the orang utan?,652062769987108864
GormanDj19,2015-10-08T12:48:00,@SSE thanks so much for the switch over and your amazing discount and benefits for the switch over to you's and glad to be saving money.,652103255758118912
_Cinobite,2015-10-08T12:51:00,"@YourSSE Thanks, I'll find out - unless you can check?",652104139477024768
_Cinobite,2015-10-08T13:06:00,"@YourSSE Energy I guess, my ex signed us up. I pay Gas and Electric to yourselves under my own name, that's about it as far as I know :P",652107766190968832
TheGrubbyDuck71,2015-10-08T18:33:00,@YourSSE 0800 980 8476  damn this has to be the shittiest cust service ever.,652190122423767040
rcskinner1984,2015-10-08T19:04:00,@SSE hi sse. Do you think this service is good enough on an 80mb fibre line ???? http://t.co/jRPcXfYO1o,652197805344337921
stubarney,2015-10-08T20:08:00,"@YourSSE eventually yes.  Please tell your superiors that is no way to run a company, you will lose customers,",652213911098363909
BusyMarketingUK,2015-10-09T05:33:00,@YourSSE Really? A revised bill for 2p that should have been 0p? Sent through the post? Is this why energy bills are so high?,652356220486053888
nmarshall0,2015-10-09T08:33:00,"@YourSSE sorry to keep asking but it's been 48 hours and I'm not entirely sure what needs investigating, it's a straightforward query",652401397649043456
